"Exchange Orders","طلبات الاستبدال"
"Cancel Unplaced Exchange Replacements","إلغاء المنتجات البديلة التي لم تتحول إلى طلب"
"You are not authorized to cancel exchange replacement intents.","غير مصرح لك بإلغاء المنتجات البديلة التي لم تتحول إلى طلب."
"Cancel Unplaced Replacement","إلغاء المنتج البديل قبل إنشاء الطلب"
"Cancel this unplaced replacement and continue through refund-only settlement? The prepared quote remains as an inactive audit record.","هل تريد إلغاء المنتج البديل قبل إنشاء الطلب والمتابعة بتسوية رد المبلغ فقط؟ سيبقى عرض السعر المحضر غير نشط كسجل تدقيق."
"The unplaced replacement was cancelled. The exchange can continue through refund-only settlement.","تم إلغاء المنتج البديل قبل إنشاء الطلب. يمكن متابعة الاستبدال بتسوية رد المبلغ فقط."
"The replacement intent could not be cancelled. Check the logs and try again.","تعذر إلغاء المنتج البديل. راجع السجلات وحاول مرة أخرى."
"The replacement cancellation comment is invalid.","تعليق إلغاء المنتج البديل غير صالح."
"The replacement cancellation comment cannot exceed %1 characters.","لا يمكن أن يتجاوز تعليق إلغاء المنتج البديل %1 حرفًا."
"Reconcile Exchange Settlements","تسوية طلبات الاستبدال"
"You are not authorized to reconcile exchange settlements.","غير مصرح لك بتسوية طلبات الاستبدال."
"Reconcile Settlement","تنفيذ التسوية"
"Settlement amounts and type are derived from verified Magento documents. Record only the external reference and an optional audit comment.","يتم اشتقاق مبالغ التسوية ونوعها من مستندات ماجنتو المتحقق منها. سجّل المرجع الخارجي وتعليق تدقيق اختياري فقط."
"External Reference","المرجع الخارجي"
"Required because this settlement records a customer payment or merchant refund.","مطلوب لأن هذه التسوية تسجل دفعة من العميل أو رد مبلغ من التاجر."
"Leave blank for a balanced settlement.","اتركه فارغًا للتسوية المتوازنة."
"Settlement Comment","تعليق التسوية"
"The exchange settlement was reconciled successfully.","تمت تسوية طلب الاستبدال بنجاح."
"The exchange settlement could not be reconciled. Check the logs and try again.","تعذر تنفيذ تسوية طلب الاستبدال. راجع السجلات وحاول مرة أخرى."
"The external settlement reference is invalid.","مرجع التسوية الخارجي غير صالح."
"The external settlement reference cannot exceed %1 characters.","لا يمكن أن يتجاوز مرجع التسوية الخارجي %1 حرفًا."
"The settlement comment is invalid.","تعليق التسوية غير صالح."
"The settlement comment cannot exceed %1 characters.","لا يمكن أن يتجاوز تعليق التسوية %1 حرفًا."
